question,answer
"hello","Hello! Hope you're having a great day. How can I assist you today?"
"hi","Hi there! I'm here to help you with any questions or concerns."
"hey","Hey! How can I make your day easier?"
"good morning","Good morning! How can I help you today?"
"good evening","Good evening! How may I assist you?"
"i need help cancelling purchase {{Order Number}}","I can sense that you're seeking assistance with canceling your purchase with the purchase number {{Order Number}}. Don't worry, I'm here to help!"
"help me update my contact info","Sure! I can assist you with updating your contact information. Please provide the new details you'd like to update."
"where is my order?","I can help you track your order. Please provide your order number to proceed."
"i want to return an item","No problem. I can guide you through the return process. May I know the order number and item you'd like to return?"
"how long does shipping take?","Our standard shipping typically takes 3-5 business days. Expedited shipping options are also available."
"how can I contact customer support?","You can reach our customer support via email at support@example.com or call us at 1-800-123-4567."
"can I change my delivery address?","Yes, you can change your delivery address if your order hasn't shipped yet. Please share the order number and new address."
"my order arrived damaged","I'm sorry to hear that! Please share your order number and a photo of the damaged item so we can resolve this quickly."
"do you ship internationally?","Yes, we do ship internationally. Delivery times and fees may vary based on location."
"i didn’t receive my refund","I understand your concern. Please provide your order number so I can check the refund status for you."
"how do I cancel my order?","If your order hasn't shipped, we can cancel it. Please provide your order number to proceed."
"how can I track my order?","You can track your order using the tracking link sent to your email, or provide your order number here for assistance."
"are your products under warranty?","Yes, most of our products come with a one-year warranty. Please check the product page or ask for details."
"can I change my order?","Changes are possible before the order is shipped. Please provide your order number and the desired change."
"how do I reset my password?","You can reset your password by clicking 'Forgot Password' on the login page. An email will be sent to you with instructions."
"can I speak to a human agent?","Absolutely. Please hold on while I connect you to a live support agent."
"what are your customer service hours?","Our customer service is available Monday–Friday, 9 AM–6 PM (EST)."
"i got the wrong item","I’m really sorry for the mix-up. Please share your order number and a photo of what you received."
"do you offer gift wrapping?","Yes, gift wrapping is available for most items during checkout."
"what payment methods do you accept?","We accept Visa, MasterCard, PayPal, Apple Pay, and Google Pay."
"can i pay in installments?","Yes, we offer installment plans through Klarna and Afterpay."
"do i need an account to place an order?","You can checkout as a guest, but creating an account helps track orders and save preferences."
"do you offer student discounts?","Yes, we offer a 10% discount for students. Verify with a student ID to claim."
"what is your return policy?","We accept returns within 30 days of delivery. Items must be unused and in original packaging."
"is there a restocking fee?","No, we don’t charge any restocking fees on returns."
"how do I apply a promo code?","You can enter your promo code at checkout in the 'Apply Promo' box."
"my tracking says delivered but I didn’t get it","I'm sorry about that. Please allow 24 hours, and if it's still missing, we’ll start an investigation with the courier."
"do you price match?","Yes, we match prices from select competitors. Please send us the link for verification."
"i have a problem with my account","I’m here to help. Could you describe the issue you're experiencing with your account?"
"can I schedule a delivery?","Scheduled delivery is available for select items. Let us know your preferred date."
"do you have a mobile app?","Yes, our mobile app is available on both iOS and Android. Search for us in your app store."
"do you have physical stores?","Yes, we have retail stores in select cities. You can find the nearest one using our store locator online."
"how do I unsubscribe from emails?","You can click the 'Unsubscribe' link at the bottom of any email we send."
"what should I do if my payment fails?","Please ensure your card details are correct and retry. If it still fails, contact your bank or try another method."
"can I use more than one discount code?","Only one discount code can be used per order unless otherwise stated."
"how do I become a member?","You can sign up for our membership on our website. Members enjoy exclusive deals and early access to sales."
